Bib #,First Name,Last Name,M/F,Home Town,State,Country,Nationality,Event,Age,Bib,Wave,Status,Time,Note,# Finishes,# 48h,# 36h
38,Ariovaldo,Branco,M,Resende,Santa Catarina,Brazil,Brazil,2009 Badwater 135,38,38,600,FIN,38:47:03,,3,3,2
38,Ariovaldo,Branco,M,Praia Grande,Sao Paulo,Brazil,Brazil,2010 Badwater 135,41,38,800,FIN,33:57:35,,3,3,2
45,Ariovaldo,Branco,M,Praia Grande,,Brazil,Brazil,2017 Badwater 135,48,45,2130,FIN,33:58:09,,3,3,2
91,Bob,Brashear,M,Cold Spring,Kentucky,United States,United States,2021 Badwater 135,62,91,2000,FIN,38:07:28,,1,1,
36,Michael,Brehe,M,Osnabrueck,Lower Saxony (Niedersachsen),Germany,Germany,2012 Badwater 135,51,36,800,FIN,45:36:12,,1,1,
24,Dan,Brenden,M,Phoenix,Arizona,United States,United States,2015 Badwater 135,64,24,2130,FIN,39:43:24,,1,1,
4,Chavet,Breslin,F,Denver,Colorado,United States,United States,2017 Badwater 135,35,4,2300,FIN,42:01:41,,2,2,
4,Chavet,Breslin,F,Denver,Colorado,United States,United States,2018 Badwater 135,36,4,2300,FIN,42:38:40,,2,2,
23,Antony,Brimsted,M,,Kent,United Kingdom,United Kingdom,2004 Badwater 135,38,23,800,FIN,33:13:42,,1,1,1
47,Jason,Brock,M,Kaysville,Utah,United States,United States,2023 Badwater 135,47,47,2100,DNF,,,,,
,Randi,Bromka,F,Aspen,Colorado,United States,United States,1990 Badwater 135,N/A,,PM,DNF,,"*PM Start Time, Not AM.",,,
25,Mike,Brooks,M,,Maine,United States,United States,2004 Badwater 135,58,25,800,FIN,46:17:10,,1,1,
89,Shalev,Brosh,M,Pardes Hana,,Israel,Israel,2023 Badwater 135,45,89,2200,FIN,36:44:02,,1,1,
6,Viktoria,Brown,F,Whitby,Ontario,Canada,Hungary,2023 Badwater 135,47,6,2200,FIN,30:11:52,,1,1,1
2,Angela,Brunson,F,,,United States,United States,2002 Badwater 135,31,2,600,FIN,45:37:20,,1,1,
73,Paolo,Bucci,M,San Polo di Torrile,Parma,Italy,Italy,2011 Badwater 135,58,73,600,FIN,40:57:01,,3,3,
73,Paolo,Bucci,M,San Polo Torrile,Parma,Italy,Italy,2012 Badwater 135,59,73,600,FIN,39:10:16,,3,3,
73,Paolo,Bucci,M,San Polo Torrile,Parma,Italy,Italy,2013 Badwater 135,60,73,600,FIN,43:51:50,,3,3,
